State_Abbrv,State_Name,STATE_FIP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AL,Alabama,01,4.7,5.4,5.4,5,3.8,3.5,3.4,5,9.7,9.2,8.5,7.1,6.5
AK,Alaska,02,6.2,7.1,7.7,7.4,6.9,6.5,6.1,6.4,7.7,8,7.6,6.9,6.5
AZ,Arizona,04,4.7,6,5.7,5,4.7,4.1,3.7,6,9.8,10.4,9.4,8.3,8
AR,Arkansas,05,4.7,5.3,5.8,5.6,5.1,5.3,5.3,5.4,7.5,7.9,8,7.5,7.5
CA,California,06,5.4,6.7,6.8,6.2,5.4,4.9,5.4,7.2,11.3,12.4,11.8,10.4,8.9
CO,Colorado,08,3.8,5.7,6.1,5.6,5.1,4.3,3.8,4.8,8.1,9,8.5,7.8,6.8
CT,Connecticut,09,3.1,4.4,5.5,4.9,4.9,4.4,4.6,5.6,8.2,9.3,8.9,8.3,7.8
DE,Delaware,10,3.5,4,4.2,3.9,4,3.5,3.5,4.9,7.9,8,7.4,7.1,6.7
DC,District of Columbia,11,6.3,6.7,7,7.5,6.5,5.7,5.5,6.6,9.7,10.1,10.2,9.1,8.3
FL,Florida,12,4.7,5.7,5.3,4.7,3.8,3.3,4,6.3,10.4,11.3,10.3,8.8,7.2
GA,Georgia,13,4,4.8,4.8,4.7,5.2,4.7,4.6,6.3,9.7,10.2,9.9,9,8.2
HI,Hawaii,15,4.2,4,3.9,3.2,2.8,2.5,2.7,4.1,6.8,6.7,6.5,5.7,4.8
ID,Idaho,16,4.9,5.4,5.2,4.6,3.7,3,3,4.8,7.4,8.7,8.4,7.3,6.2
IL,Illinois,17,5.4,6.5,6.7,6.2,5.8,4.6,5.1,6.4,10,10.5,9.7,8.9,9.2
IN,Indiana,18,4.2,5.2,5.3,5.3,5.4,5,4.6,5.8,10.3,10,8.8,8.1,7.5
IA,Iowa,19,3.3,3.9,4.4,4.6,4.3,3.7,3.8,4,6.3,6.3,5.8,5.2,4.6
KS,Kansas,20,4.3,5.1,5.6,5.5,5.1,4.4,4.1,4.4,7.1,7.1,6.5,5.8,5.4
KY,Kentucky,21,5.2,5.7,6.3,5.6,6,5.9,5.6,6.6,10.3,10.2,9.5,8.3,8.3
LA,Louisiana,22,5.4,5.9,6.2,5.5,6.7,3.9,3.8,4.4,6.6,7.4,7.2,6.5,6.2
ME,Maine,23,3.7,4.4,5,4.6,4.9,4.7,4.7,5.4,8.1,8.2,7.7,7.2,6.7
MD,Maryland,24,4.1,4.5,4.5,4.3,4.1,3.8,3.4,4.3,7.4,7.9,7.3,6.9,6.6
MA,Massachusetts,25,3.7,5.3,5.8,5.2,4.8,4.8,4.5,5.3,8.2,8.3,7.3,6.8,7.1
MI,Michigan,26,5.2,6.2,7.1,7.1,6.8,6.9,7.1,8.3,13.5,12.7,10.4,9.1,8.8
MN,Minnesota,27,3.8,4.5,4.9,4.6,4.2,4.1,4.7,5.4,8,7.4,6.5,5.6,5.1
MS,Mississippi,28,5.6,6.7,6.4,6.3,7.8,6.8,6.3,6.8,9.5,10.6,10.6,9.2,8.6
MO,Missouri,29,4.5,5.2,5.6,5.8,5.4,4.8,5,5.9,9.4,9.3,8.5,7,6.5
MT,Montana,30,4.5,4.5,4.3,4,3.6,3.2,3.4,4.5,6,6.7,6.5,6,5.6
NE,Nebraska,31,3.1,3.7,4,3.9,3.9,3,3,3.3,4.7,4.7,4.5,4,3.9
