District,rural/urban,Male,Female,Total,Households,Area in Sq. Km., Household Density ,Population Density,Gender Index,County,Location 1,Province
NAIROBI WEST,Rural,0,0,0,0,0,,,,NAIROBI,,36.79920201
NAIROBI EAST,Rural,0,0,0,0,0,,,,NAIROBI,,36.967484
NAIROBI NORTH,Rural,0,0,0,0,0,,,,NAIROBI,,36.8911257
WESTLANDS,Rural,0,0,0,0,0,,,,NAIROBI,,36.7882561
NYANDARUA NORTH,Rural,106111,109785,215896,52503,1394.69,37.64,109861.0821,1.03462412,CENTRAL,,36.42343108
NYANDARUA SOUTH,Rural,131872,137982,269854,61936,1472.58,42.06,138071.5517,1.046332808,CENTRAL,,36.55651343
NYERI NORTH,Rural,141423,143971,285394,81307,2253.47,36.08,144033.7579,1.018016871,CENTRAL,,36.9811441
NYERI SOUTH,Rural,114557,123990,238547,66028,874.13,75.54,124121.0526,1.082343288,CENTRAL,,36.89927916
KIRINYAGA,Rural,220494,224156,444650,126665,1402.71,90.3,224313.1914,1.016608162,CENTRAL,,37.32018369
MURANGA SOUTH,Rural,156115,165195,321310,84114,762.77,110.27,165399.6685,1.058162252,CENTRAL,,37.05522802
KIAMBU EAST(KIAMBAA),Rural,22768,22306,45074,12468,100.4,124.18,22532.77291,0.979708363,CENTRAL,,36.80546766
KIKUYU,Rural,424,398,822,251,4.78,52.51,486.7029289,0.938679245,CENTRAL,,36.63360077
KIAMBU WEST,Rural,25493,25508,51001,13465,197.39,68.22,25637.15041,1.000588397,CENTRAL,,36.62625892
LARI,Rural,60632,63263,123895,30779,439.16,70.09,63401.06358,1.043392928,CENTRAL,,36.67684469
GITHUNGURI,Rural,63591,65052,128643,33301,166.58,199.91,65433.74451,1.022974949,CENTRAL,,36.79433274
THIKA EAST,Rural,36828,36775,73603,19226,398.18,48.28,36867.49083,0.998560878,CENTRAL,,37.23100647
THIKA WEST,Rural,12299,12188,24487,7283,207.31,35.13,12247.32661,0.990974876,CENTRAL,,37.04502993
RUIRU,Rural,0,0,0,0,0,,,,CENTRAL,,36.99460397
GATANGA,Rural,54783,56375,111158,29664,307.15,96.58,56553.35911,1.02906011,CENTRAL,,36.88791928
GATUNDU,Rural,100939,107845,208784,53749,476.47,112.81,108056.8475,1.068417559,CENTRAL,,36.85558237
MOMBASA,Rural,0,0,0,0,0,,,,COAST,,39.6977
