District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province
TURKANA NORTH,652288,1274062,1874668,269185,194434,132,23876,3441,307,Turkana,"(4.31378822, 35.09717514)",4.31378822,35.09717514,RIFE VALLEY
MANDERA WEST,302474,344581,656442,366021,43030,0,72459,10014,50363,Mandera,"(3.593363344, 40.2334622)",3.593363344,40.2334622,NORTH EASTERN
MANDERA EAST,306791,542948,1506203,179713,64985,6,42516,6579,1333,Mandera,"(3.521529392, 41.29294811)",3.521529392,41.29294811,NORTH EASTERN
CHALBI,220979,682991,698582,69411,37713,66,5204,411,308,Marsabit,"(3.399917155, 37.36288736)",3.399917155,37.36288736,EASTERN
MANDERA CENTRAL,467713,745295,1767102,385085,83649,0,85687,10415,1806,Mandera,"(3.226535113, 40.72748791)",3.226535113,40.72748791,NORTH EASTERN
MOYALE,116256,75748,146523,86314,11505,0,27769,1778,359,Marsabit,"(3.117620629, 38.80269655)",3.117620629,38.80269655,EASTERN
TURKANA CENTRAL,196492,560671,1273445,150700,90067,220,27405,3773,1985,Turkana,"(3.05371677, 35.44299468)",3.05371677,35.44299468,RIFE VALLEY
WAJIR NORTH,189707,192787,300079,161958,23681,1,41780,3549,327,Wajir,"(2.931162031, 39.5873795)",2.931162031,39.5873795,NORTH EASTERN
MARSABIT,25906,13306,28162,915,2800,14,8286,1560,440,Marsabit,"(2.350360288, 37.94495682)",2.350360288,37.94495682,EASTERN
LAISAMIS,61462,187959,270213,46680,11843,45,5049,633,1584,Marsabit,"(2.238105939, 37.48344825)",2.238105939,37.48344825,EASTERN
WAJIR EAST,159846,460690,720936,167764,32192,2,35265,10145,390,Wajir,"(2.195672158, 40.36685178)",2.195672158,40.36685178,NORTH EASTERN
TURKANA SOUTH,685832,1682418,2846748,412577,273686,218,114068,8230,30289,Turkana,"(2.078370044, 35.99979492)",2.078370044,35.99979492,RIFE VALLEY
POKOT NORTH,377688,199977,377903,29273,21671,93,121380,8705,69469,West Pokot,"(2.039330692, 35.10600361)",2.039330692,35.10600361,RIFE VALLEY
WAJIR WEST,113541,363924,380699,106818,30517,0,35767,4793,141,Wajir,"(1.920164855, 39.5240015)",1.920164855,39.5240015,NORTH EASTERN
SAMBURU NORTH,69193,142861,270542,22068,12178,32,4919,377,12630,Samburu,"(1.789437949, 36.83086912)",1.789437949,36.83086912,RIFE VALLEY
WEST POKOT,129475,114050,173693,294,8243,149,143426,8397,32080,West Pokot,"(1.492414256, 35.16354392)",1.492414256,35.16354392,RIFE VALLEY
POKOT CENTRAL,179212,146300,213141,1050,6559,155,138190,4950,28432,West Pokot,"(1.491213025, 35.49402215)",1.491213025,35.49402215,RIFE VALLEY
ISIOLO,101525,152164,166549,9957,11874,115,20261,5696,1012,Isiolo,"(1.255057085, 38.46170147)",1.255057085,38.46170147,EASTERN
KWANZA,53090,48151,15006,29,3462,1316,181888,12850,2484,Trans Nzoia,"(1.134996095, 34.85810469)",1.134996095,34.85810469,RIFE VALLEY
SAMBURU CENTRAL,78123,175415,148368,3544,4281,60,25076,3679,5014,Samburu,"(1.09166901, 36.71442163)",1.09166901,36.71442163,RIFE VALLEY
MARAKWET,99969,202260,108093,17,10636,218,143608,12207,33422,Elgeyo Marakwet,"(1.08405524, 35.50699822)",1.08405524,35.50699822,RIFE VALLEY
SAMBURU EAST,37350,69422,131840,7212,10363,95,7754,906,3413,Samburu,"(1.081019259, 37.47389892)",1.081019259,37.47389892,RIFE VALLEY
EAST POKOT,787209,380125,1474617,67036,51763,37,53977,2883,80089,Baringo,"(1.049001072, 36.01860317)",1.049001072,36.01860317,RIFE VALLEY
TRANS NZOIA WEST,68170,42618,10811,6,2778,2366,265443,77417,3997,Trans Nzoia,"(1.022635873, 35.18029104)",1.022635873,35.18029104,RIFE VALLEY
WAJIR SOUTH,331458,389482,464512,97111,29113,0,27298,3650,414,Wajir,"(0.974263337, 40.34314459)",0.974263337,40.34314459,NORTH EASTERN
