District,rural_urban,Male,Female,Total,Households,Area_sq_km, Household Density ,Population_Density,Gender_Index,County,Location 1,Province
BARINGO,Rural,65136,66242,131378,27309,2420.16,11.28,66268.91392,1.016979858,RIFT VALLEY,,35.97415916
BARINGO NORTH,Rural,46228,47561,93789,19734,1703.49,11.58,47588.13723,1.028835338,RIFT VALLEY,,35.80555092
BOMET,Rural,145925,152672,298597,56084,824.56,68.02,152848.9732,1.04623608,RIFT VALLEY,,35.31899335
BONDO,Rural,53823,56643,110466,26023,497.69,52.29,56751.14563,1.052393958,NYANZA,,34.19064437
BORABU,Rural,34151,33461,67612,15615,246.55,63.33,33599.51551,0.979795614,NYANZA,,35.02803793
BUNGOMA EAST,Rural,81861,86202,168063,31961,327.26,97.66,86452.14056,1.053028915,WESTERN,,34.73645726
BUNGOMA NORTH,Rural,108417,114156,222573,41915,420.75,99.62,114413.6756,1.052934503,WESTERN,,34.86452529
BUNGOMA SOUTH,Rural,152157,161988,314145,61280,578.93,105.85,162250.8245,1.064610895,WESTERN,,34.52131934
BUNGOMA WEST,Rural,102129,107157,209286,40157,387.85,103.54,107420.3209,1.049231854,WESTERN,,34.54143282
BUNYALA,Rural,28617,31545,60162,13535,185.33,73.03,31699.41105,1.102316805,WESTERN,,34.02046792
BURET,Rural,142728,138653,281381,58138,1166.86,49.82,138775.318,0.97144919,RIFT VALLEY,,35.3033778
BUSIA,Rural,134705,148809,283514,58210,650.11,89.54,149016.2034,1.104702869,WESTERN,,34.26474625
BUTERE,Rural,109084,120551,229635,51518,344.46,149.56,120867.6812,1.105120824,WESTERN,,34.54564535
CHALBI,Rural,41318,33878,75196,15586,39248.03,0.4,33879.05274,0.819933201,EASTERN,,37.36288736
EAST POKOT,Rural,69889,63300,133189,21291,4516.81,4.71,63315.47309,0.90572193,RIFT VALLEY,,36.01860317
ELDORET EAST,Rural,80374,80348,160722,30873,1182.97,26.1,80415.94255,0.999676512,RIFT VALLEY,,35.41893944
ELDORET WEST,Rural,123499,123933,247432,47151,1018.49,46.3,124054.257,1.003514198,RIFT VALLEY,,35.19163187
EMBU,Rural,106708,110074,216782,56173,630.06,89.16,110243.3616,1.031544027,EASTERN,,37.50475286
EMUHAYA,Rural,63402,72321,135723,31382,134.34,233.6,72792.95176,1.140673796,WESTERN,,34.60778185
FAFI,Rural,49621,44099,93720,15583,15419.55,1.01,44102.21806,0.888716471,NORTH EASTERN,,40.43908059
GARBATULLA,Rural,18863,15521,34384,7076,9608.11,0.74,15522.96324,0.822827758,EASTERN,,38.65180184
GARISSA,Rural,40733,32376,73109,11189,4901.58,2.28,32384.31018,0.794834655,NORTH EASTERN,,39.56855753
GATANGA,Rural,54783,56375,111158,29664,307.15,96.58,56553.35911,1.02906011,CENTRAL,,36.88791928
