COUNTY,Class,Number,Gender,Year,County (Centroids)
Baringo        ,Class 1,10356,Boys,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Baringo        ,Class 1,9281,Girls,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 1,15313,Girls,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bomet          ,Class 1,16480,Boys,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 1,33985,Boys,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Bungoma        ,Class 1,34329,Girls,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 1,18428,Girls,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Busia          ,Class 1,18613,Boys,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 1,8071,Boys,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Elgeyo Marakwet,Class 1,7496,Girls,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 1,7148,Girls,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Embu           ,Class 1,7815,Boys,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 1,15781,Boys,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Garissa        ,Class 1,11744,Girls,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 1,21892,Girls,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Homa Bay       ,Class 1,22084,Boys,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 1,2989,Boys,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Isiolo         ,Class 1,2878,Girls,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 1,10588,Girls,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kajiado        ,Class 1,10851,Boys,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 1,39007,Boys,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kakamega       ,Class 1,38572,Girls,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 1,14966,Girls,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kericho        ,Class 1,16138,Boys,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 1,19582,Boys,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kiambu         ,Class 1,18751,Girls,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 1,19667,Girls,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kilifi         ,Class 1,21029,Boys,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 1,7057,Boys,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kirinyaga      ,Class 1,6448,Girls,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 1,21503,Girls,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisii          ,Class 1,22266,Boys,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 1,18220,Boys,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kisumu         ,Class 1,17860,Girls,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 1,23200,Girls,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kitui          ,Class 1,24323,Boys,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 1,13915,Boys,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Kwale          ,Class 1,13086,Girls,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 1,6190,Girls,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Laikipia       ,Class 1,6479,Boys,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 1,2267,Boys,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Lamu           ,Class 1,1939,Girls,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 1,17703,Girls,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Machakos       ,Class 1,18818,Boys,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 1,19147,Boys,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Makueni        ,Class 1,17482,Girls,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 1,6446,Girls,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Mandera        ,Class 1,10761,Boys,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 1,5239,Boys,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Marsabit       ,Class 1,4785,Girls,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 1,24044,Girls,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Meru           ,Class 1,24920,Boys,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 1,21378,Boys,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Migori         ,Class 1,21165,Girls,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 1,8555,Girls,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Mombasa        ,Class 1,8517,Boys,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 1,13073,Boys,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Muranga        ,Class 1,12029,Girls,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 1,30895,Girls,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nairobi        ,Class 1,30231,Boys,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 1,29052,Boys,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nakuru         ,Class 1,27163,Girls,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 1,15717,Girls,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Nandi          ,Class 1,16667,Boys,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 1,19795,Boys,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Narok          ,Class 1,18075,Girls,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 1,10060,Girls,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyamira        ,Class 1,10379,Boys,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 1,9257,Boys,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyandarua      ,Class 1,8403,Girls,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 1,7746,Girls,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Nyeri          ,Class 1,8631,Boys,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
