District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province,Male,Female,Total,Households,Area_sq_km, Household Density ,Population_Density
BARINGO,68595,72260,168852,13,3047,243,119715,11032,42416,Baringo,"(0.448155493, 35.97415916)",0.448155493,35.97415916,RIFE VALLEY,65136,66242,131378,27309,2420.16,11.28,66268.91392
BARINGO NORTH,38143,30446,128364,28,299,58,73037,3537,31570,Baringo,"(0.745856425, 35.80555092)",0.745856425,35.80555092,RIFE VALLEY,46228,47561,93789,19734,1703.49,11.58,47588.13723
BOMET,210855,53060,82395,5,18363,604,364644,13981,14807,Bomet,"(-0.840969003, 35.31899335)",-0.840969003,35.31899335,RIFE VALLEY,145925,152672,298597,56084,824.56,68.02,152848.9732
BONDO,66419,19004,52674,4,2406,955,194203,11873,827,Siaya,"(-0.09212788, 34.19064437)",-0.09212788,34.19064437,NYANZA,53823,56643,110466,26023,497.69,52.29,56751.14563
BORABU,22827,4416,8776,0,653,417,70047,11250,1178,Nyamira,"(-0.735368659, 35.02803793)",-0.735368659,35.02803793,NYANZA,34151,33461,67612,15615,246.55,63.33,33599.51551
BUNGOMA EAST,59883,12384,9186,0,346,1113,180014,12446,1750,Bungoma,"(0.63973936, 34.73645726)",0.63973936,34.73645726,WESTERN,81861,86202,168063,31961,327.26,97.66,86452.14056
BUNGOMA NORTH,77907,29975,8612,4,688,1810,273318,14230,4371,Bungoma,"(0.783636675, 34.86452529)",0.783636675,34.86452529,WESTERN,108417,114156,222573,41915,420.75,99.62,114413.6756
BUNGOMA SOUTH,83978,13374,28068,8,920,7167,392459,24900,3335,Bungoma,"(0.56139561, 34.52131934)",0.56139561,34.52131934,WESTERN,152157,161988,314145,61280,578.93,105.85,162250.8245
BUNGOMA WEST,63813,12876,22523,6,797,1292,238929,8774,1445,Bungoma,"(0.718594776, 34.54143282)",0.718594776,34.54143282,WESTERN,102129,107157,209286,40157,387.85,103.54,107420.3209
BUNYALA,13912,2632,10577,0,102,2884,57163,1625,152,Busia,"(0.085563847, 34.02046792)",0.085563847,34.02046792,WESTERN,28617,31545,60162,13535,185.33,73.03,31699.41105
BURET,112087,33629,14250,6,4008,349,161569,17601,16109,Bomet,"(-0.547074877, 35.3033778)",-0.547074877,35.3033778,RIFE VALLEY,142728,138653,281381,58138,1166.86,49.82,138775.318
BUSIA,71386,15269,19050,0,590,21315,362069,13515,1337,Busia,"(0.413063265, 34.26474625)",0.413063265,34.26474625,WESTERN,134705,148809,283514,58210,650.11,89.54,149016.2034
BUTERE,64007,14963,12378,0,859,3204,226742,19773,1986,Kakamega,"(0.192421093, 34.54564535)",0.192421093,34.54564535,WESTERN,109084,120551,229635,51518,344.46,149.56,120867.6812
CHALBI,220979,682991,698582,69411,37713,66,5204,411,308,Marsabit,"(3.399917155, 37.36288736)",3.399917155,37.36288736,EASTERN,41318,33878,75196,15586,39248.03,0.4,33879.05274
EAST POKOT,787209,380125,1474617,67036,51763,37,53977,2883,80089,Baringo,"(1.049001072, 36.01860317)",1.049001072,36.01860317,RIFE VALLEY,69889,63300,133189,21291,4516.81,4.71,63315.47309
ELDORET EAST,99774,95778,22796,0,2053,652,206589,46301,11120,Uasin Gishu,"(0.563160828, 35.41893944)",0.563160828,35.41893944,RIFE VALLEY,80374,80348,160722,30873,1182.97,26.1,80415.94255
ELDORET WEST,109909,75332,14856,6,1441,1777,288777,68423,5601,Uasin Gishu,"(0.711285558, 35.19163187)",0.711285558,35.19163187,RIFE VALLEY,123499,123933,247432,47151,1018.49,46.3,124054.257
EMBU,67052,20716,54116,2,579,5021,234489,53217,26972,Embu,"(-0.409100139, 37.50475286)",-0.409100139,37.50475286,EASTERN,106708,110074,216782,56173,630.06,89.16,110243.3616
EMUHAYA,49665,4646,10156,0,309,892,157082,9521,585,Vihiga,"(0.057677852, 34.60778185)",0.057677852,34.60778185,WESTERN,63402,72321,135723,31382,134.34,233.6,72792.95176
